"Former citizenship","Age","1991 Total","1991 Males","1991 Females","1992 Total","1992 Males","1992 Females","1993 Total","1993 Males","1993 Females","1994 Total","1994 Males","1994 Females","1995 Total","1995 Males","1995 Females","1996 Total","1996 Males","1996 Females","1997 Total","1997 Males","1997 Females","1998 Total","1998 Males","1998 Females","1999 Total","1999 Males","1999 Females","2000 Total","2000 Males","2000 Females","2001 Total","2001 Males","2001 Females","2002 Total","2002 Males","2002 Females","2003 Total","2003 Males","2003 Females","2004 Total","2004 Males","2004 Females","2005 Total","2005 Males","2005 Females","2006 Total","2006 Males","2006 Females","2007 Total","2007 Males","2007 Females","2008 Total","2008 Males","2008 Females","2009 Total","2009 Males","2009 Females","2010 Total","2010 Males","2010 Females","2011 Total","2011 Males","2011 Females","2012 Total","2012 Males","2012 Females","2013 Total","2013 Males","2013 Females","2014 Total","2014 Males","2014 Females","2015 Total","2015 Males","2015 Females","2016 Total","2016 Males","2016 Females","2017 Total","2017 Males","2017 Females","2018 Total","2018 Males","2018 Females"
"Hungary","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,2,3,0,0,0,2,0,2,0,0,0,1,0,1,4,2,2,7,2,5,2,0,2,2,1,1,6,4,2,3,0,3,0,0,0,0,0,0,1,0,1,4,2,2,3,2,1,0,0,0,7,3,4,1,0,1,2,0,2,3,0,3
"Ireland","Total",2,2,0,2,1,1,1,1,0,4,0,4,0,0,0,3,0,3,4,2,2,1,0,1,6,4,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Italy","Total",1,1,0,0,0,0,5,5,0,1,1,0,3,1,2,1,1,0,2,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,1,2,3,2,1,3,3,0,1,1,0,1,1,0,1,1,0,2,2,0,0,0,0,3,1,2,3,1,2,0,0,0,3,1,2,3,2,1,2,2,0
"Lithuania","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,1,0,1,0,0,0,4,2,2,3,0,3,1,0,1,9,3,6,7,2,5,5,3,2,23,9,14,23,6,17,9,5,4,11,6,5,8,3,5,6,0,6,7,2,5,16,6,10,10,4,6,16,9,7,15,7,8,13,6,7
"Luxembourg","Total",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Latvia","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,2,1,1,9,3,6,5,1,4,5,2,3,5,3,2,9,3,6,1,1,0,2,0,2,1,1,0,4,2,2,18,8,10,4,1,3,21,6,15,22,7,15,24,7,17,19,5,14
"Malta","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Netherlands","Total",0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,4,2,2,5,1,4,2,2,0,0,0,0,7,4,3,4,2,2,3,0,3,1,1,0,2,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,2,1,1,1,0,1,0,0,0,2,2,0,1,0,1,3,2,1,0,0,0
"Poland","Total",9,5,4,4,2,2,2,0,2,5,1,4,7,3,4,19,3,16,36,15,21,28,9,19,20,7,13,35,15,20,39,15,24,48,18,30,67,23,44,133,63,70,184,80,104,222,104,118,162,74,88,164,72,92,153,61,92,50,22,28,35,15,20,30,15,15,89,35,54,149,64,85,265,101,164,224,89,135,223,97,126,149,66,83
"Portugal","Total",2,2,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,2,1,1,2,1,1,1,0,1,0,0,0,1,1,0,9,4,5,5,1,4,1,0,1,12,8,4,6,5,1,2,1,1,3,0,3,4,1,3,2,1,1,6,3,3,3,0,3,3,1,2,10,6,4,4,1,3,7,4,3,13,5,8,0,0,0
