"Value unit","Employment","Economic activity","2008Q1","2008Q2","2008Q3","2008Q4","2009Q1","2009Q2","2009Q3","2009Q4","2010Q1","2010Q2","2010Q3","2010Q4","2011Q1","2011Q2","2011Q3","2011Q4","2012Q1","2012Q2","2012Q3","2012Q4","2013Q1","2013Q2","2013Q3","2013Q4","2014Q1","2014Q2","2014Q3","2014Q4","2015Q1","2015Q2","2015Q3","2015Q4","2016Q1","2016Q2","2016Q3","2016Q4","2017Q1","2017Q2","2017Q3","2017Q4","2018Q1","2018Q2","2018Q3","2018Q4","2019Q1","2019Q2","2019Q3","2019Q4","2020Q1","2020Q2"
"Hours worked","Total employment","Total - All activities",71999400.0,74551100.0,69713600.0,72726900.0,65442600.0,59738600.0,60132400.0,64662200.0,62564400.0,58747400.0,60039100.0,63946900.0,61920200.0,60937700.0,61274500.0,65319000.0,63790000.0,60527000.0,61537000.0,65940600.0,63762800.0,63671400.0,63331400.0,67345500.0,66434900.0,62745100.0,64448500.0,68792100.0,66951500.0,63506100.0,66635100.0,72540900.0,67557800.0,69049600.0,68655500.0,74206200.0,71824500.0,69550300.0,71315400.0,76685900.0,73471900.0,72336500.0,71565800.0,77432900.0,77680200.0,72279700.0,69296600.0,76797300.0,74232300.0,64096200.0
"Hours worked","Employees","A. Agriculture, forestry and fishing",2722400.0,2807500.0,2450700.0,3014600.0,2746900.0,3037800.0,2677700.0,3065000.0,2870600.0,3061500.0,2931200.0,3083400.0,2889200.0,3040000.0,2956200.0,3242900.0,3045400.0,3056100.0,2872700.0,3176000.0,2989600.0,3005100.0,2878500.0,3130400.0,2737400.0,2839800.0,2737000.0,2981800.0,2805800.0,2761900.0,2763800.0,2944000.0,2674000.0,2615900.0,2408000.0,2578900.0,1923100.0,2457400.0,2306800.0,2580300.0,2384100.0,2405100.0,2368100.0,2581600.0,2445400.0,2489000.0,2292500.0,2531400.0,2295600.0,2281800.0
"Hours worked","Employees","B-E. Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",9718000.0,10064100.0,9038800.0,10079800.0,8916800.0,7918400.0,8064200.0,9277800.0,8930800.0,8014200.0,8309100.0,9329300.0,8898100.0,8607200.0,8756900.0,9743700.0,9359500.0,8438500.0,8845400.0,9796900.0,9222300.0,8982900.0,9102600.0,10021900.0,9761600.0,8714100.0,9093600.0,10028600.0,9529400.0,8611800.0,9292200.0,10339400.0,9391700.0,9358400.0,9245500.0,10283500.0,9401500.0,8695900.0,9187700.0,10201400.0,9445300.0,8953400.0,9006200.0,10089000.0,9929000.0,8871400.0,8769700.0,10072500.0,9558400.0,8164000.0
"Hours worked","Employees","C. Manufacturing",8574400.0,8844100.0,7758800.0,8831700.0,7754900.0,6901800.0,6920100.0,8145600.0,7837900.0,7029300.0,7192000.0,8235900.0,7804300.0,7597800.0,7644700.0,8626300.0,8269800.0,7451500.0,7758700.0,8682600.0,8184000.0,7956700.0,7996000.0,8932400.0,8667600.0,7724800.0,7999000.0,8902500.0,8448700.0,7645200.0,8194200.0,9144500.0,8334000.0,8269200.0,8113700.0,9118400.0,8267600.0,7658300.0,8023800.0,8996100.0,8289800.0,7838700.0,7816600.0,8857800.0,8672800.0,7752300.0,7593600.0,8789000.0,8280600.0,7033500.0
"Hours worked","Employees","F. Construction",6924100.0,7247900.0,6441400.0,5761900.0,3889700.0,3380000.0,3473400.0,3570900.0,2956600.0,2819400.0,2891800.0,3011400.0,2699900.0,2693200.0,2690700.0,2858000.0,2611500.0,2598200.0,2658400.0,2945800.0,2757400.0,2857000.0,2877600.0,3150500.0,3003200.0,2947300.0,3046000.0,3383100.0,3220800.0,3215900.0,3360600.0,3752200.0,3588500.0,3850900.0,3880200.0,4454900.0,4434300.0,4452500.0,4677600.0,5245400.0,4971800.0,4945500.0,4828100.0,5506300.0,5316400.0,5071200.0,4750800.0,5333900.0,4815200.0,4288800.0
"Hours worked","Employees","G-I. Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities",15377500.0,15999700.0,15089500.0,14459200.0,12666300.0,12673100.0,12762000.0,13058300.0,12379400.0,12906300.0,13056400.0,13178900.0,12339000.0,13580200.0,13626800.0,13722000.0,12999800.0,13950800.0,14111100.0,14133100.0,13605600.0,14637800.0,14756600.0,14639100.0,14091100.0,15128900.0,15297900.0,15292500.0,14492700.0,15929300.0,16466400.0,16575700.0,16031600.0,17515900.0,17798900.0,18152800.0,17396600.0,18965300.0,18958500.0,19252400.0,18198200.0,19389800.0,18939800.0,19327700.0,18316500.0,18864800.0,17263800.0,18165400.0,16799700.0,13554300.0
"Hours worked","Employees","J. Information and communication",3102900.0,3083700.0,2905700.0,3074200.0,2934800.0,2395200.0,2512200.0,2841800.0,2882400.0,2407800.0,2546400.0,2881100.0,2929400.0,2596900.0,2591300.0,2892400.0,2890000.0,2432200.0,2589700.0,2890200.0,2867300.0,2664800.0,2743900.0,3062000.0,3084800.0,2584400.0,2752300.0,3053900.0,3056200.0,2594200.0,2821100.0,3172400.0,2999500.0,2848200.0,2814900.0,3148600.0,3164200.0,2650800.0,2824900.0,3133600.0,2975700.0,2672800.0,2703500.0,3029600.0,3363000.0,2780700.0,2793200.0,3247400.0,3268900.0,2511200.0
"Hours worked","Employees","K. Financial and insurance activities",3666400.0,3699400.0,3456400.0,3545000.0,3278400.0,2662900.0,2759800.0,3042000.0,2991300.0,2563800.0,2766600.0,2968100.0,2900700.0,2681800.0,2758600.0,3016000.0,3002400.0,2571600.0,2729400.0,2914200.0,2809500.0,2618700.0,2668200.0,2974600.0,2934700.0,2412100.0,2563900.0,2709200.0,2661900.0,2260400.0,2493900.0,2640800.0,2469500.0,2421200.0,2416700.0,2583700.0,2551000.0,2195400.0,2357600.0,2503600.0,2422300.0,2247100.0,2295700.0,2450100.0,2536500.0,2136700.0,2150500.0,2394000.0,2449600.0,2032600.0
"Hours worked","Employees","M-N. Professional, scientific and technical activities; administrative and support service activities",5001400.0,5264500.0,5214400.0,5008400.0,4528900.0,3801400.0,4105700.0,4305800.0,4260300.0,3765200.0,4193700.0,4392000.0,4419200.0,4157900.0,4447100.0,4662400.0,4667300.0,4175400.0,4643500.0,4823200.0,4680000.0,4607600.0,4850100.0,4974000.0,5055500.0,4526800.0,5085800.0,5270300.0,5241500.0,4802600.0,5499600.0,5689200.0,5414900.0,5712900.0,6232300.0,6520600.0,6566700.0,6044300.0,6937400.0,7028400.0,6631100.0,6450700.0,6999300.0,7158200.0,7145900.0,6275300.0,6622600.0,6952000.0,6651600.0,4788800.0
"Hours worked","Employees","O-Q. Public administration and defence; compulsory social security; education; human health and social work activities",19575000.0,20435800.0,19520900.0,21685600.0,20873400.0,18839200.0,18547100.0,19896500.0,19886400.0,18189400.0,18250900.0,19615700.0,19356100.0,18384800.0,18271900.0,19515200.0,19602500.0,17945400.0,17803800.0,19539800.0,19122500.0,18834100.0,18019200.0,19703500.0,19720000.0,18250100.0,18433700.0,20138500.0,20074300.0,17909000.0,18364900.0,21251300.0,19308200.0,19177200.0,18203500.0,20494900.0,20523100.0,18658100.0,18414300.0,20789700.0,20544900.0,19674600.0,18767600.0,21217500.0,22490600.0,20126800.0,19137600.0,21998500.0,22331600.0,21406700.0
