Year,Age,Sex,marital_status,count
1998,29,Females,Total,1865
1998,30,Females,Total,1998
1998,31,Females,Total,2153
1998,32,Females,Total,2070
1998,33,Females,Total,2201
1998,34,Females,Total,2132
1998,35,Females,Total,2108
1998,36,Females,Total,2030
1998,37,Females,Total,2110
1998,38,Females,Total,2110
1998,39,Females,Total,2069
1998,40,Females,Total,2007
1998,41,Females,Total,2002
1998,42,Females,Total,1971
1998,43,Females,Total,1858
1998,44,Females,Total,1854
1998,45,Females,Total,1730
1998,46,Females,Total,1820
1998,47,Females,Total,1686
1998,48,Females,Total,1616
1998,49,Females,Total,1660
1998,50,Females,Total,1522
1998,51,Females,Total,1404
1998,52,Females,Total,1430
1998,53,Females,Total,1326
1998,54,Females,Total,1323
1998,55,Females,Total,1236
1998,56,Females,Total,1098
1998,57,Females,Total,1055
1998,58,Females,Total,979
1998,59,Females,Total,965
1998,60,Females,Total,973
1998,61,Females,Total,1047
1998,62,Females,Total,1019
1998,63,Females,Total,1008
1998,64,Females,Total,987
1998,65,Females,Total,1014
1998,66,Females,Total,1013
1998,67,Females,Total,1113
1998,68,Females,Total,989
1998,69,Females,Total,946
1998,70,Females,Total,918
1998,71,Females,Total,923
1998,72,Females,Total,812
1998,73,Females,Total,807
1998,74,Females,Total,843
1998,75,Females,Total,785
1998,76,Females,Total,751
1998,77,Females,Total,703
1998,78,Females,Total,607
1998,79,Females,Total,603
1998,80,Females,Total,551
1998,81,Females,Total,498
1998,82,Females,Total,471
1998,83,Females,Total,442
1998,84,Females,Total,424
1998,85,Females,Total,351
1998,86,Females,Total,338
1998,87,Females,Total,238
1998,88,Females,Total,237
1998,89,Females,Total,212
1998,90,Females,Total,158
1998,91,Females,Total,135
1998,92,Females,Total,122
1998,93,Females,Total,95
1998,94,Females,Total,66
1998,95,Females,Total,46
1998,96,Females,Total,41
1998,97,Females,Total,28
1998,98,Females,Total,16
1998,99,Females,Total,8
1998,100,Females,Total,13
1998,101,Females,Total,3
1998,102,Females,Total,4
1998,103,Females,Total,3
1998,104,Females,Total,0
1998,105,Females,Total,0
1998,106,Females,Total,0
1998,107,Females,Total,0
1998,108,Females,Total,0
1998,109,Females,Total,0
1998,Total,Total,Unmarried single,61132
1998,16,Total,Unmarried single,4323
1998,17,Total,Unmarried single,4459
1998,18,Total,Unmarried single,4359
1998,19,Total,Unmarried single,3832
1998,20,Total,Unmarried single,3500
1998,21,Total,Unmarried single,3497
1998,22,Total,Unmarried single,3243
1998,23,Total,Unmarried single,2838
1998,24,Total,Unmarried single,2746
1998,25,Total,Unmarried single,2380
1998,26,Total,Unmarried single,2017
1998,27,Total,Unmarried single,1596
1998,28,Total,Unmarried single,1520
1998,29,Total,Unmarried single,1376
1998,30,Total,Unmarried single,1211
1998,31,Total,Unmarried single,1224
1998,32,Total,Unmarried single,1065
1998,33,Total,Unmarried single,1019
1998,34,Total,Unmarried single,948
1998,35,Total,Unmarried single,834
1998,36,Total,Unmarried single,737
1998,37,Total,Unmarried single,738
1998,38,Total,Unmarried single,690
1998,39,Total,Unmarried single,644
1998,40,Total,Unmarried single,523
1998,41,Total,Unmarried single,530
1998,42,Total,Unmarried single,497
1998,43,Total,Unmarried single,457
1998,44,Total,Unmarried single,399
1998,45,Total,Unmarried single,403
1998,46,Total,Unmarried single,371
1998,47,Total,Unmarried single,343
1998,48,Total,Unmarried single,258
1998,49,Total,Unmarried single,266
1998,50,Total,Unmarried single,274
1998,51,Total,Unmarried single,229
1998,52,Total,Unmarried single,229
1998,53,Total,Unmarried single,191
1998,54,Total,Unmarried single,207
1998,55,Total,Unmarried single,185
1998,56,Total,Unmarried single,157
1998,57,Total,Unmarried single,125
1998,58,Total,Unmarried single,151
1998,59,Total,Unmarried single,160
1998,60,Total,Unmarried single,142
1998,61,Total,Unmarried single,153
1998,62,Total,Unmarried single,158
1998,63,Total,Unmarried single,165
1998,64,Total,Unmarried single,132
1998,65,Total,Unmarried single,190
1998,66,Total,Unmarried single,179
1998,67,Total,Unmarried single,172
1998,68,Total,Unmarried single,160
1998,69,Total,Unmarried single,175
1998,70,Total,Unmarried single,184
1998,71,Total,Unmarried single,177
1998,72,Total,Unmarried single,149
1998,73,Total,Unmarried single,155
1998,74,Total,Unmarried single,169
1998,75,Total,Unmarried single,156
1998,76,Total,Unmarried single,164
1998,77,Total,Unmarried single,162
1998,78,Total,Unmarried single,151
1998,79,Total,Unmarried single,142
1998,80,Total,Unmarried single,132
1998,81,Total,Unmarried single,124
1998,82,Total,Unmarried single,106
1998,83,Total,Unmarried single,127
1998,84,Total,Unmarried single,94
1998,85,Total,Unmarried single,88
1998,86,Total,Unmarried single,96
1998,87,Total,Unmarried single,52
1998,88,Total,Unmarried single,65
1998,89,Total,Unmarried single,64
1998,90,Total,Unmarried single,41
1998,91,Total,Unmarried single,37
1998,92,Total,Unmarried single,26
1998,93,Total,Unmarried single,33
1998,94,Total,Unmarried single,17
1998,95,Total,Unmarried single,18
1998,96,Total,Unmarried single,11
1998,97,Total,Unmarried single,6
1998,98,Total,Unmarried single,2
1998,99,Total,Unmarried single,1
1998,100,Total,Unmarried single,1
1998,101,Total,Unmarried single,2
1998,102,Total,Unmarried single,3
1998,103,Total,Unmarried single,0
1998,104,Total,Unmarried single,0
1998,105,Total,Unmarried single,0
1998,106,Total,Unmarried single,0
1998,107,Total,Unmarried single,0
1998,108,Total,Unmarried single,0
1998,109,Total,Unmarried single,0
1998,Total,Males,Unmarried single,33777
1998,16,Males,Unmarried single,2241
1998,17,Males,Unmarried single,2309
1998,18,Males,Unmarried single,2264
1998,19,Males,Unmarried single,1993
1998,20,Males,Unmarried single,1854
1998,21,Males,Unmarried single,1941
1998,22,Males,Unmarried single,1793
1998,23,Males,Unmarried single,1620
1998,24,Males,Unmarried single,1565
1998,25,Males,Unmarried single,1333
1998,26,Males,Unmarried single,1145
1998,27,Males,Unmarried single,936
1998,28,Males,Unmarried single,850
1998,29,Males,Unmarried single,822
1998,30,Males,Unmarried single,714
1998,31,Males,Unmarried single,703
1998,32,Males,Unmarried single,629
1998,33,Males,Unmarried single,587
1998,34,Males,Unmarried single,538
1998,35,Males,Unmarried single,488
1998,36,Males,Unmarried single,431
1998,37,Males,Unmarried single,420
1998,38,Males,Unmarried single,400
1998,39,Males,Unmarried single,382
1998,40,Males,Unmarried single,304
1998,41,Males,Unmarried single,313
1998,42,Males,Unmarried single,274
1998,43,Males,Unmarried single,271
1998,44,Males,Unmarried single,242
1998,45,Males,Unmarried single,242
1998,46,Males,Unmarried single,226
1998,47,Males,Unmarried single,218
1998,48,Males,Unmarried single,163
1998,49,Males,Unmarried single,153
1998,50,Males,Unmarried single,171
1998,51,Males,Unmarried single,162
1998,52,Males,Unmarried single,138
1998,53,Males,Unmarried single,125
1998,54,Males,Unmarried single,133
1998,55,Males,Unmarried single,129
1998,56,Males,Unmarried single,99
1998,57,Males,Unmarried single,80
1998,58,Males,Unmarried single,100
1998,59,Males,Unmarried single,100
1998,60,Males,Unmarried single,86
1998,61,Males,Unmarried single,98
1998,62,Males,Unmarried single,95
1998,63,Males,Unmarried single,96
1998,64,Males,Unmarried single,69
1998,65,Males,Unmarried single,100
1998,66,Males,Unmarried single,92
1998,67,Males,Unmarried single,93
1998,68,Males,Unmarried single,92
1998,69,Males,Unmarried single,106
1998,70,Males,Unmarried single,108
1998,71,Males,Unmarried single,92
1998,72,Males,Unmarried single,76
1998,73,Males,Unmarried single,81
1998,74,Males,Unmarried single,84
1998,75,Males,Unmarried single,82
1998,76,Males,Unmarried single,88
1998,77,Males,Unmarried single,80
1998,78,Males,Unmarried single,87
1998,79,Males,Unmarried single,65
1998,80,Males,Unmarried single,62
1998,81,Males,Unmarried single,56
1998,82,Males,Unmarried single,41
1998,83,Males,Unmarried single,40
1998,84,Males,Unmarried single,33
1998,85,Males,Unmarried single,34
1998,86,Males,Unmarried single,28
1998,87,Males,Unmarried single,19
1998,88,Males,Unmarried single,23
1998,89,Males,Unmarried single,16
1998,90,Males,Unmarried single,11
1998,91,Males,Unmarried single,11
1998,92,Males,Unmarried single,9
1998,93,Males,Unmarried single,8
1998,94,Males,Unmarried single,5
1998,95,Males,Unmarried single,4
1998,96,Males,Unmarried single,2
1998,97,Males,Unmarried single,3
1998,98,Males,Unmarried single,0
1998,99,Males,Unmarried single,0
1998,100,Males,Unmarried single,0
1998,101,Males,Unmarried single,1
1998,102,Males,Unmarried single,0
1998,103,Males,Unmarried single,0
1998,104,Males,Unmarried single,0
1998,105,Males,Unmarried single,0
1998,106,Males,Unmarried single,0
1998,107,Males,Unmarried single,0
1998,108,Males,Unmarried single,0
1998,109,Males,Unmarried single,0
1998,Total,Females,Unmarried single,27355
1998,16,Females,Unmarried single,2082
1998,17,Females,Unmarried single,2150
1998,18,Females,Unmarried single,2095
1998,19,Females,Unmarried single,1839
1998,20,Females,Unmarried single,1646
1998,21,Females,Unmarried single,1556
1998,22,Females,Unmarried single,1450
1998,23,Females,Unmarried single,1218
1998,24,Females,Unmarried single,1181
1998,25,Females,Unmarried single,1047
1998,26,Females,Unmarried single,872
1998,27,Females,Unmarried single,660
1998,28,Females,Unmarried single,670
1998,29,Females,Unmarried single,554
1998,30,Females,Unmarried single,497
1998,31,Females,Unmarried single,521
1998,32,Females,Unmarried single,436
1998,33,Females,Unmarried single,432
1998,34,Females,Unmarried single,410
1998,35,Females,Unmarried single,346
1998,36,Females,Unmarried single,306
1998,37,Females,Unmarried single,318
1998,38,Females,Unmarried single,290
1998,39,Females,Unmarried single,262
1998,40,Females,Unmarried single,219
1998,41,Females,Unmarried single,217
1998,42,Females,Unmarried single,223
1998,43,Females,Unmarried single,186
1998,44,Females,Unmarried single,157
1998,45,Females,Unmarried single,161
1998,46,Females,Unmarried single,145
1998,47,Females,Unmarried single,125
1998,48,Females,Unmarried single,95
1998,49,Females,Unmarried single,113
1998,50,Females,Unmarried single,103
1998,51,Females,Unmarried single,67
1998,52,Females,Unmarried single,91
1998,53,Females,Unmarried single,66
1998,54,Females,Unmarried single,74
1998,55,Females,Unmarried single,56
1998,56,Females,Unmarried single,58
1998,57,Females,Unmarried single,45
1998,58,Females,Unmarried single,51
1998,59,Females,Unmarried single,60
1998,60,Females,Unmarried single,56
1998,61,Females,Unmarried single,55
1998,62,Females,Unmarried single,63
1998,63,Females,Unmarried single,69
1998,64,Females,Unmarried single,63
1998,65,Females,Unmarried single,90
1998,66,Females,Unmarried single,87
1998,67,Females,Unmarried single,79
1998,68,Females,Unmarried single,68
1998,69,Females,Unmarried single,69
1998,70,Females,Unmarried single,76
1998,71,Females,Unmarried single,85
1998,72,Females,Unmarried single,73
1998,73,Females,Unmarried single,74
1998,74,Females,Unmarried single,85
1998,75,Females,Unmarried single,74
1998,76,Females,Unmarried single,76
1998,77,Females,Unmarried single,82
1998,78,Females,Unmarried single,64
1998,79,Females,Unmarried single,77
1998,80,Females,Unmarried single,70
1998,81,Females,Unmarried single,68
1998,82,Females,Unmarried single,65
1998,83,Females,Unmarried single,87
1998,84,Females,Unmarried single,61
1998,85,Females,Unmarried single,54
1998,86,Females,Unmarried single,68
1998,87,Females,Unmarried single,33
1998,88,Females,Unmarried single,42
1998,89,Females,Unmarried single,48
1998,90,Females,Unmarried single,30
1998,91,Females,Unmarried single,26
1998,92,Females,Unmarried single,17
1998,93,Females,Unmarried single,25
1998,94,Females,Unmarried single,12
1998,95,Females,Unmarried single,14
1998,96,Females,Unmarried single,9
1998,97,Females,Unmarried single,3
1998,98,Females,Unmarried single,2
1998,99,Females,Unmarried single,1
1998,100,Females,Unmarried single,1
1998,101,Females,Unmarried single,1
1998,102,Females,Unmarried single,3
1998,103,Females,Unmarried single,0
1998,104,Females,Unmarried single,0
1998,105,Females,Unmarried single,0
1998,106,Females,Unmarried single,0
1998,107,Females,Unmarried single,0
1998,108,Females,Unmarried single,0
1998,109,Females,Unmarried single,0
1998,Total,Total,Unmarried in consensual union,21201
1998,16,Total,Unmarried in consensual union,5
1998,17,Total,Unmarried in consensual union,50
1998,18,Total,Unmarried in consensual union,102
1998,19,Total,Unmarried in consensual union,203
1998,20,Total,Unmarried in consensual union,344
1998,21,Total,Unmarried in consensual union,521
1998,22,Total,Unmarried in consensual union,759
1998,23,Total,Unmarried in consensual union,887
1998,24,Total,Unmarried in consensual union,1189
1998,25,Total,Unmarried in consensual union,1340
1998,26,Total,Unmarried in consensual union,1169
1998,27,Total,Unmarried in consensual union,1164
1998,28,Total,Unmarried in consensual union,1148
1998,29,Total,Unmarried in consensual union,1100
1998,30,Total,Unmarried in consensual union,1091
1998,31,Total,Unmarried in consensual union,1052
1998,32,Total,Unmarried in consensual union,1037
1998,33,Total,Unmarried in consensual union,927
1998,34,Total,Unmarried in consensual union,865
1998,35,Total,Unmarried in consensual union,774
1998,36,Total,Unmarried in consensual union,673
1998,37,Total,Unmarried in consensual union,614
1998,38,Total,Unmarried in consensual union,614
1998,39,Total,Unmarried in consensual union,508
1998,40,Total,Unmarried in consensual union,420
1998,41,Total,Unmarried in consensual union,390
1998,42,Total,Unmarried in consensual union,327
1998,43,Total,Unmarried in consensual union,253
1998,44,Total,Unmarried in consensual union,241
1998,45,Total,Unmarried in consensual union,187
1998,46,Total,Unmarried in consensual union,126
1998,47,Total,Unmarried in consensual union,151
1998,48,Total,Unmarried in consensual union,98
1998,49,Total,Unmarried in consensual union,73
1998,50,Total,Unmarried in consensual union,75
1998,51,Total,Unmarried in consensual union,69
1998,52,Total,Unmarried in consensual union,47
1998,53,Total,Unmarried in consensual union,57
1998,54,Total,Unmarried in consensual union,40
1998,55,Total,Unmarried in consensual union,40
1998,56,Total,Unmarried in consensual union,26
1998,57,Total,Unmarried in consensual union,18
1998,58,Total,Unmarried in consensual union,38
1998,59,Total,Unmarried in consensual union,25
1998,60,Total,Unmarried in consensual union,14
1998,61,Total,Unmarried in consensual union,24
1998,62,Total,Unmarried in consensual union,20
1998,63,Total,Unmarried in consensual union,23
1998,64,Total,Unmarried in consensual union,28
1998,65,Total,Unmarried in consensual union,17
1998,66,Total,Unmarried in consensual union,18
1998,67,Total,Unmarried in consensual union,21
1998,68,Total,Unmarried in consensual union,23
1998,69,Total,Unmarried in consensual union,14
1998,70,Total,Unmarried in consensual union,20
1998,71,Total,Unmarried in consensual union,17
1998,72,Total,Unmarried in consensual union,12
1998,73,Total,Unmarried in consensual union,14
1998,74,Total,Unmarried in consensual union,11
1998,75,Total,Unmarried in consensual union,15
1998,76,Total,Unmarried in consensual union,11
1998,77,Total,Unmarried in consensual union,7
1998,78,Total,Unmarried in consensual union,6
1998,79,Total,Unmarried in consensual union,6
1998,80,Total,Unmarried in consensual union,9
1998,81,Total,Unmarried in consensual union,7
1998,82,Total,Unmarried in consensual union,5
1998,83,Total,Unmarried in consensual union,4
1998,84,Total,Unmarried in consensual union,3
1998,85,Total,Unmarried in consensual union,4
1998,86,Total,Unmarried in consensual union,3
1998,87,Total,Unmarried in consensual union,1
1998,88,Total,Unmarried in consensual union,2
1998,89,Total,Unmarried in consensual union,1
1998,90,Total,Unmarried in consensual union,0
1998,91,Total,Unmarried in consensual union,1
1998,92,Total,Unmarried in consensual union,2
1998,93,Total,Unmarried in consensual union,0
1998,94,Total,Unmarried in consensual union,0
1998,95,Total,Unmarried in consensual union,0
1998,96,Total,Unmarried in consensual union,0
1998,97,Total,Unmarried in consensual union,1
1998,98,Total,Unmarried in consensual union,0
1998,99,Total,Unmarried in consensual union,0
1998,100,Total,Unmarried in consensual union,0
1998,101,Total,Unmarried in consensual union,0
1998,102,Total,Unmarried in consensual union,0
1998,103,Total,Unmarried in consensual union,0
