"Quarter","Duration","Number","%"
"2008Q1","Less than one month",1700,40.0
"2008Q1","1-2 months",1000,24.1
"2008Q1","3-5 months",300,8.4
"2008Q1","6 to 11 months",300,6.5
"2008Q1","12 months or more",100,3.5
"2008Q2","Unemployed",5700,100.0
"2008Q2","Already found work",1700,29.6
"2008Q2","Less than one month",2100,36.9
"2008Q2","1-2 months",1300,22.8
"2008Q2","3-5 months",300,4.9
"2008Q2","6 to 11 months",100,2.3
"2008Q2","12 months or more",200,3.5
"2008Q3","Unemployed",4800,100.0
"2008Q3","Already found work",1000,20.3
"2008Q3","Less than one month",1600,33.5
"2008Q3","1-2 months",1600,32.9
"2008Q3","3-5 months",400,7.6
"2008Q3","6 to 11 months",100,1.4
"2008Q3","12 months or more",200,4.2
"2008Q4","Unemployed",7400,100.0
"2008Q4","Already found work",400,5.9
"2008Q4","Less than one month",2500,34.1
"2008Q4","1-2 months",3100,41.5
"2008Q4","3-5 months",1000,14.0
"2008Q4","6 to 11 months",100,1.9
"2008Q4","12 months or more",200,2.5
"2009Q1","Unemployed",12700,100.0
"2009Q1","Already found work",400,3.5
"2009Q1","Less than one month",2400,19.2
"2009Q1","1-2 months",5700,44.6
"2009Q1","3-5 months",3100,24.1
"2009Q1","6 to 11 months",500,3.9
"2009Q1","12 months or more",600,4.8
"2009Q2","Unemployed",16700,100.0
"2009Q2","Already found work",1500,9.3
"2009Q2","Less than one month",3300,19.9
"2009Q2","1-2 months",4200,25.1
"2009Q2","3-5 months",4700,28.3
"2009Q2","6 to 11 months",2500,14.9
"2009Q2","12 months or more",400,2.5
"2009Q3","Unemployed",10900,100.0
"2009Q3","Already found work",800,7.4
"2009Q3","Less than one month",1500,14.0
"2009Q3","1-2 months",1800,16.9
"2009Q3","3-5 months",2800,25.2
"2009Q3","6 to 11 months",3200,29.3
"2009Q3","12 months or more",800,7.1
"2009Q4","Unemployed",12000,100.0
"2009Q4","Already found work",300,2.2
"2009Q4","Less than one month",2300,19.1
"2009Q4","1-2 months",3100,26.1
"2009Q4","3-5 months",2100,17.9
"2009Q4","6 to 11 months",2500,20.6
"2009Q4","12 months or more",1700,14.0
"2010Q1","Unemployed",13500,100.0
"2010Q1","Already found work",400,2.9
"2010Q1","Less than one month",1600,12.1
"2010Q1","1-2 months",3700,27.3
"2010Q1","3-5 months",2400,17.9
"2010Q1","6 to 11 months",2900,21.7
"2010Q1","12 months or more",2500,18.1
"2010Q2","Unemployed",16200,100.0
"2010Q2","Already found work",2800,17.4
"2010Q2","Less than one month",2600,16.2
