Year,Month,Citizenship,n_passengers
2002,Aug,Estonia / Latvia / Lithuania,
2002,Aug,Finland,882
2002,Aug,France,5197
2002,Aug,Netherlands,1871
2002,Aug,Hong Kong,
2002,Aug,India,
2002,Aug,Ireland,
2002,Aug,Israel,
2002,Aug,Italy,3674
2002,Aug,Japan,698
2002,Aug,Canada,227
2002,Aug,China,
2002,Aug,Norway,2528
2002,Aug,Poland,
2002,Aug,Russia,
2002,Aug,Singapore,
2002,Aug,Spain,1524
2002,Aug,South Korea,
2002,Aug,Switzerland,1965
2002,Aug,Sweden,3206
2002,Aug,Taiwan,
2002,Aug,Germany,9060
2002,Aug,Other countries,5519
2002,Sep,Passenger total,44754
2002,Sep,Iceland,20201
2002,Sep,Foreigners,24553
2002,Sep,Austria,
2002,Sep,Australia / New Zealand,
2002,Sep,U.S.A.,4172
2002,Sep,Belgium,
2002,Sep,U.K.,3271
2002,Sep,Denmark,2143
2002,Sep,Estonia / Latvia / Lithuania,
2002,Sep,Finland,676
2002,Sep,France,1653
2002,Sep,Netherlands,940
2002,Sep,Hong Kong,
2002,Sep,India,
2002,Sep,Ireland,
2002,Sep,Israel,
2002,Sep,Italy,393
2002,Sep,Japan,337
2002,Sep,Canada,271
2002,Sep,China,
2002,Sep,Norway,2711
2002,Sep,Poland,
2002,Sep,Russia,
2002,Sep,Singapore,
2002,Sep,Spain,341
2002,Sep,South Korea,
2002,Sep,Switzerland,322
2002,Sep,Sweden,2190
2002,Sep,Taiwan,
2002,Sep,Germany,2547
2002,Sep,Other countries,2586
2002,Oct,Passenger total,40284
2002,Oct,Iceland,22513
2002,Oct,Foreigners,17771
2002,Oct,Austria,
2002,Oct,Australia / New Zealand,
2002,Oct,U.S.A.,3089
2002,Oct,Belgium,
2002,Oct,U.K.,5086
2002,Oct,Denmark,1475
2002,Oct,Estonia / Latvia / Lithuania,
2002,Oct,Finland,465
2002,Oct,France,408
2002,Oct,Netherlands,563
2002,Oct,Hong Kong,
2002,Oct,India,
2002,Oct,Ireland,
2002,Oct,Israel,
2002,Oct,Italy,109
2002,Oct,Japan,162
2002,Oct,Canada,157
2002,Oct,China,
2002,Oct,Norway,1624
2002,Oct,Poland,
2002,Oct,Russia,
2002,Oct,Singapore,
2002,Oct,Spain,69
2002,Oct,South Korea,
2002,Oct,Switzerland,89
2002,Oct,Sweden,1820
2002,Oct,Taiwan,
2002,Oct,Germany,811
2002,Oct,Other countries,1844
2002,Nov,Passenger total,30775
2002,Nov,Iceland,18369
2002,Nov,Foreigners,12406
2002,Nov,Austria,
2002,Nov,Australia / New Zealand,
2002,Nov,U.S.A.,2384
2002,Nov,Belgium,
2002,Nov,U.K.,2780
2002,Nov,Denmark,1155
2002,Nov,Estonia / Latvia / Lithuania,
2002,Nov,Finland,296
2002,Nov,France,530
2002,Nov,Netherlands,385
2002,Nov,Hong Kong,
2002,Nov,India,
2002,Nov,Ireland,
2002,Nov,Israel,
2002,Nov,Italy,129
2002,Nov,Japan,93
2002,Nov,Canada,118
2002,Nov,China,
2002,Nov,Norway,1349
2002,Nov,Poland,
2002,Nov,Russia,
2002,Nov,Singapore,
2002,Nov,Spain,56
2002,Nov,South Korea,
2002,Nov,Switzerland,56
2002,Nov,Sweden,1410
2002,Nov,Taiwan,
2002,Nov,Germany,503
2002,Nov,Other countries,1162
2002,Dec,Passenger total,22427
2002,Dec,Iceland,11835
2002,Dec,Foreigners,10592
2002,Dec,Austria,
