Year,Month,Citizenship,n_passengers
2004,Aug,Netherlands,2235
2004,Aug,Hong Kong,
2004,Aug,India,
2004,Aug,Ireland,
2004,Aug,Israel,
2004,Aug,Italy,4001
2004,Aug,Japan,1405
2004,Aug,Canada,515
2004,Aug,China,
2004,Aug,Norway,2658
2004,Aug,Poland,
2004,Aug,Russia,
2004,Aug,Singapore,
2004,Aug,Spain,2395
2004,Aug,South Korea,
2004,Aug,Switzerland,1965
2004,Aug,Sweden,3091
2004,Aug,Taiwan,
2004,Aug,Germany,10861
2004,Aug,Other countries,7467
2004,Sep,Passenger total,60955
2004,Sep,Iceland,30055
2004,Sep,Foreigners,30900
2004,Sep,Austria,
2004,Sep,Australia / New Zealand,
2004,Sep,U.S.A.,4530
2004,Sep,Belgium,
2004,Sep,U.K.,4469
2004,Sep,Denmark,3612
2004,Sep,Estonia / Latvia / Lithuania,
2004,Sep,Finland,813
2004,Sep,France,1403
2004,Sep,Netherlands,1085
2004,Sep,Hong Kong,
2004,Sep,India,
2004,Sep,Ireland,
2004,Sep,Israel,
2004,Sep,Italy,525
2004,Sep,Japan,665
2004,Sep,Canada,341
2004,Sep,China,
2004,Sep,Norway,2549
2004,Sep,Poland,
2004,Sep,Russia,
2004,Sep,Singapore,
2004,Sep,Spain,537
2004,Sep,South Korea,
2004,Sep,Switzerland,298
2004,Sep,Sweden,2693
2004,Sep,Taiwan,
2004,Sep,Germany,3420
2004,Sep,Other countries,3960
2004,Oct,Passenger total,56694
2004,Oct,Iceland,31356
2004,Oct,Foreigners,25338
2004,Oct,Austria,
2004,Oct,Australia / New Zealand,
2004,Oct,U.S.A.,3605
2004,Oct,Belgium,
2004,Oct,U.K.,6356
2004,Oct,Denmark,2799
2004,Oct,Estonia / Latvia / Lithuania,
2004,Oct,Finland,550
2004,Oct,France,749
2004,Oct,Netherlands,530
2004,Oct,Hong Kong,
2004,Oct,India,
2004,Oct,Ireland,
2004,Oct,Israel,
2004,Oct,Italy,209
2004,Oct,Japan,237
2004,Oct,Canada,183
2004,Oct,China,
2004,Oct,Norway,2981
2004,Oct,Poland,
2004,Oct,Russia,
2004,Oct,Singapore,
2004,Oct,Spain,141
2004,Oct,South Korea,
2004,Oct,Switzerland,148
2004,Oct,Sweden,2636
2004,Oct,Taiwan,
2004,Oct,Germany,1132
2004,Oct,Other countries,3082
2004,Nov,Passenger total,45034
2004,Nov,Iceland,29074
2004,Nov,Foreigners,15960
2004,Nov,Austria,
2004,Nov,Australia / New Zealand,
2004,Nov,U.S.A.,2525
2004,Nov,Belgium,
2004,Nov,U.K.,3507
2004,Nov,Denmark,1582
2004,Nov,Estonia / Latvia / Lithuania,
2004,Nov,Finland,383
2004,Nov,France,575
2004,Nov,Netherlands,377
2004,Nov,Hong Kong,
2004,Nov,India,
2004,Nov,Ireland,
2004,Nov,Israel,
2004,Nov,Italy,165
2004,Nov,Japan,227
2004,Nov,Canada,305
2004,Nov,China,
2004,Nov,Norway,1372
2004,Nov,Poland,
2004,Nov,Russia,
2004,Nov,Singapore,
2004,Nov,Spain,66
2004,Nov,South Korea,
2004,Nov,Switzerland,59
2004,Nov,Sweden,1720
2004,Nov,Taiwan,
2004,Nov,Germany,890
2004,Nov,Other countries,2207
2004,Dec,Passenger total,31092
2004,Dec,Iceland,19355
2004,Dec,Foreigners,11737
2004,Dec,Austria,
2004,Dec,Australia / New Zealand,
2004,Dec,U.S.A.,1828
2004,Dec,Belgium,
2004,Dec,U.K.,2185
2004,Dec,Denmark,1208
2004,Dec,Estonia / Latvia / Lithuania,
2004,Dec,Finland,214
2004,Dec,France,544
2004,Dec,Netherlands,271
2004,Dec,Hong Kong,
2004,Dec,India,
2004,Dec,Ireland,
2004,Dec,Israel,
2004,Dec,Italy,258
2004,Dec,Japan,480
2004,Dec,Canada,222
2004,Dec,China,
2004,Dec,Norway,745
2004,Dec,Poland,
2004,Dec,Russia,
2004,Dec,Singapore,
2004,Dec,Spain,85
2004,Dec,South Korea,
2004,Dec,Switzerland,91
2004,Dec,Sweden,696
2004,Dec,Taiwan,
2004,Dec,Germany,707
2004,Dec,Other countries,2203
2005,Jan,Passenger total,37747
2005,Jan,Iceland,23733
2005,Jan,Foreigners,14014
2005,Jan,Austria,
2005,Jan,Australia / New Zealand,
2005,Jan,U.S.A.,2445
2005,Jan,Belgium,
2005,Jan,U.K.,3112
2005,Jan,Denmark,1255
2005,Jan,Estonia / Latvia / Lithuania,
2005,Jan,Finland,153
2005,Jan,France,577
2005,Jan,Netherlands,376
2005,Jan,Hong Kong,
2005,Jan,India,
2005,Jan,Ireland,
2005,Jan,Israel,
2005,Jan,Italy,229
2005,Jan,Japan,592
2005,Jan,Canada,130
2005,Jan,China,
2005,Jan,Norway,1139
2005,Jan,Poland,
2005,Jan,Russia,
2005,Jan,Singapore,
2005,Jan,Spain,106
2005,Jan,South Korea,
2005,Jan,Switzerland,318
2005,Jan,Sweden,1090
2005,Jan,Taiwan,
2005,Jan,Germany,986
2005,Jan,Other countries,1506
2005,Feb,Passenger total,37780
2005,Feb,Iceland,22619
2005,Feb,Foreigners,15161
2005,Feb,Austria,
2005,Feb,Australia / New Zealand,
2005,Feb,U.S.A.,2246
2005,Feb,Belgium,
2005,Feb,U.K.,4292
2005,Feb,Denmark,1379
2005,Feb,Estonia / Latvia / Lithuania,
2005,Feb,Finland,233
2005,Feb,France,672
2005,Feb,Netherlands,500
2005,Feb,Hong Kong,
2005,Feb,India,
2005,Feb,Ireland,
2005,Feb,Israel,
2005,Feb,Italy,150
2005,Feb,Japan,466
2005,Feb,Canada,128
2005,Feb,China,
2005,Feb,Norway,1630
2005,Feb,Poland,
2005,Feb,Russia,
2005,Feb,Singapore,
2005,Feb,Spain,96
2005,Feb,South Korea,
2005,Feb,Switzerland,100
2005,Feb,Sweden,928
2005,Feb,Taiwan,
2005,Feb,Germany,777
2005,Feb,Other countries,1564
2005,Mar,Passenger total,51840
2005,Mar,Iceland,33017
2005,Mar,Foreigners,18823
2005,Mar,Austria,
2005,Mar,Australia / New Zealand,
2005,Mar,U.S.A.,3082
2005,Mar,Belgium,
2005,Mar,U.K.,4033
2005,Mar,Denmark,2145
2005,Mar,Estonia / Latvia / Lithuania,
2005,Mar,Finland,326
2005,Mar,France,807
2005,Mar,Netherlands,674
2005,Mar,Hong Kong,
2005,Mar,India,
2005,Mar,Ireland,
2005,Mar,Israel,
2005,Mar,Italy,218
2005,Mar,Japan,456
2005,Mar,Canada,166
2005,Mar,China,
2005,Mar,Norway,1561
2005,Mar,Poland,
2005,Mar,Russia,
2005,Mar,Singapore,
2005,Mar,Spain,188
2005,Mar,South Korea,
2005,Mar,Switzerland,76
2005,Mar,Sweden,1478
2005,Mar,Taiwan,
2005,Mar,Germany,1268
2005,Mar,Other countries,2345
2005,Apr,Passenger total,48723
2005,Apr,Iceland,27017
2005,Apr,Foreigners,21706
2005,Apr,Austria,
2005,Apr,Australia / New Zealand,
2005,Apr,U.S.A.,2945
2005,Apr,Belgium,
2005,Apr,U.K.,5745
2005,Apr,Denmark,2401
2005,Apr,Estonia / Latvia / Lithuania,
2005,Apr,Finland,536
2005,Apr,France,961
2005,Apr,Netherlands,470
2005,Apr,Hong Kong,
2005,Apr,India,
2005,Apr,Ireland,
2005,Apr,Israel,
2005,Apr,Italy,187
2005,Apr,Japan,130
2005,Apr,Canada,152
2005,Apr,China,
2005,Apr,Norway,2096
2005,Apr,Poland,
2005,Apr,Russia,
2005,Apr,Singapore,
2005,Apr,Spain,122
2005,Apr,South Korea,
2005,Apr,Switzerland,145
2005,Apr,Sweden,2385
2005,Apr,Taiwan,
2005,Apr,Germany,1171
2005,Apr,Other countries,2260
2005,May,Passenger total,56270
2005,May,Iceland,28835
2005,May,Foreigners,27435
2005,May,Austria,
2005,May,Australia / New Zealand,
2005,May,U.S.A.,4642
2005,May,Belgium,
2005,May,U.K.,4001
2005,May,Denmark,3164
2005,May,Estonia / Latvia / Lithuania,
2005,May,Finland,811
2005,May,France,1217
2005,May,Netherlands,822
2005,May,Hong Kong,
2005,May,India,
2005,May,Ireland,
2005,May,Israel,
2005,May,Italy,291
2005,May,Japan,238
2005,May,Canada,272
2005,May,China,
2005,May,Norway,2260
2005,May,Poland,
2005,May,Russia,
2005,May,Singapore,
2005,May,Spain,288
2005,May,South Korea,
2005,May,Switzerland,276
2005,May,Sweden,2799
2005,May,Taiwan,
2005,May,Germany,2504
2005,May,Other countries,3850
2005,Jun,Passenger total,87127
2005,Jun,Iceland,46171
2005,Jun,Foreigners,40956
2005,Jun,Austria,
2005,Jun,Australia / New Zealand,
2005,Jun,U.S.A.,8165
2005,Jun,Belgium,
2005,Jun,U.K.,5875
2005,Jun,Denmark,3377
2005,Jun,Estonia / Latvia / Lithuania,
2005,Jun,Finland,1038
2005,Jun,France,2358
2005,Jun,Netherlands,1201
2005,Jun,Hong Kong,
2005,Jun,India,
2005,Jun,Ireland,
2005,Jun,Israel,
2005,Jun,Italy,867
2005,Jun,Japan,482
2005,Jun,Canada,398
2005,Jun,China,
2005,Jun,Norway,2455
2005,Jun,Poland,
2005,Jun,Russia,
2005,Jun,Singapore,
2005,Jun,Spain,438
2005,Jun,South Korea,
2005,Jun,Switzerland,498
2005,Jun,Sweden,2806
2005,Jun,Taiwan,
2005,Jun,Germany,4714
2005,Jun,Other countries,6284
2005,Jul,Passenger total,106708
2005,Jul,Iceland,41516
2005,Jul,Foreigners,65192
2005,Jul,Austria,
2005,Jul,Australia / New Zealand,
2005,Jul,U.S.A.,8740
2005,Jul,Belgium,
2005,Jul,U.K.,8044
2005,Jul,Denmark,7128
2005,Jul,Estonia / Latvia / Lithuania,
2005,Jul,Finland,1556
2005,Jul,France,5272
2005,Jul,Netherlands,2083
2005,Jul,Hong Kong,
2005,Jul,India,
2005,Jul,Ireland,
2005,Jul,Israel,
2005,Jul,Italy,1915
2005,Jul,Japan,621
2005,Jul,Canada,516
2005,Jul,China,
2005,Jul,Norway,2986
2005,Jul,Poland,
2005,Jul,Russia,
2005,Jul,Singapore,
2005,Jul,Spain,1563
2005,Jul,South Korea,
2005,Jul,Switzerland,2561
2005,Jul,Sweden,3586
2005,Jul,Taiwan,
2005,Jul,Germany,8623
2005,Jul,Other countries,9998
2005,Aug,Passenger total,105284
2005,Aug,Iceland,39789
2005,Aug,Foreigners,65495
2005,Aug,Austria,
2005,Aug,Australia / New Zealand,
2005,Aug,U.S.A.,8108
2005,Aug,Belgium,
2005,Aug,U.K.,7985
2005,Aug,Denmark,4905
2005,Aug,Estonia / Latvia / Lithuania,
2005,Aug,Finland,1256
2005,Aug,France,5672
2005,Aug,Netherlands,2374
2005,Aug,Hong Kong,
2005,Aug,India,
2005,Aug,Ireland,
2005,Aug,Israel,
2005,Aug,Italy,3908
2005,Aug,Japan,703
2005,Aug,Canada,744
2005,Aug,China,
2005,Aug,Norway,3074
2005,Aug,Poland,
2005,Aug,Russia,
2005,Aug,Singapore,
2005,Aug,Spain,2601
2005,Aug,South Korea,
2005,Aug,Switzerland,1870
2005,Aug,Sweden,3799
2005,Aug,Taiwan,
2005,Aug,Germany,9927
2005,Aug,Other countries,8569
2005,Sep,Passenger total,72143
2005,Sep,Iceland,37524
2005,Sep,Foreigners,34619
2005,Sep,Austria,
2005,Sep,Australia / New Zealand,
2005,Sep,U.S.A.,5667
2005,Sep,Belgium,
2005,Sep,U.K.,4386
2005,Sep,Denmark,3712
2005,Sep,Estonia / Latvia / Lithuania,
2005,Sep,Finland,848
2005,Sep,France,1282
2005,Sep,Netherlands,1159
2005,Sep,Hong Kong,
2005,Sep,India,
2005,Sep,Ireland,
2005,Sep,Israel,
2005,Sep,Italy,621
2005,Sep,Japan,732
2005,Sep,Canada,368
2005,Sep,China,
2005,Sep,Norway,2826
2005,Sep,Poland,
2005,Sep,Russia,
2005,Sep,Singapore,
2005,Sep,Spain,556
2005,Sep,South Korea,
2005,Sep,Switzerland,406
2005,Sep,Sweden,2502
2005,Sep,Taiwan,
2005,Sep,Germany,4347
2005,Sep,Other countries,5207
2005,Oct,Passenger total,60733
2005,Oct,Iceland,33694
2005,Oct,Foreigners,27039
2005,Oct,Austria,
2005,Oct,Australia / New Zealand,
2005,Oct,U.S.A.,3792
2005,Oct,Belgium,
2005,Oct,U.K.,5662
2005,Oct,Denmark,2767
2005,Oct,Estonia / Latvia / Lithuania,
2005,Oct,Finland,1203
2005,Oct,France,663
2005,Oct,Netherlands,785
2005,Oct,Hong Kong,
2005,Oct,India,
2005,Oct,Ireland,
2005,Oct,Israel,
2005,Oct,Italy,227
2005,Oct,Japan,912
2005,Oct,Canada,195
2005,Oct,China,
2005,Oct,Norway,2312
2005,Oct,Poland,
2005,Oct,Russia,
2005,Oct,Singapore,
2005,Oct,Spain,248
2005,Oct,South Korea,
2005,Oct,Switzerland,191
2005,Oct,Sweden,2531
2005,Oct,Taiwan,
2005,Oct,Germany,1206
2005,Oct,Other countries,4345
2005,Nov,Passenger total,48064
2005,Nov,Iceland,32254
2005,Nov,Foreigners,15810
2005,Nov,Austria,
2005,Nov,Australia / New Zealand,
2005,Nov,U.S.A.,2636
2005,Nov,Belgium,
2005,Nov,U.K.,3055
2005,Nov,Denmark,1492
2005,Nov,Estonia / Latvia / Lithuania,
2005,Nov,Finland,221
2005,Nov,France,467
2005,Nov,Netherlands,400
2005,Nov,Hong Kong,
2005,Nov,India,
2005,Nov,Ireland,
2005,Nov,Israel,
2005,Nov,Italy,185
2005,Nov,Japan,280
2005,Nov,Canada,239
2005,Nov,China,
2005,Nov,Norway,1351
2005,Nov,Poland,
2005,Nov,Russia,
2005,Nov,Singapore,
2005,Nov,Spain,118
2005,Nov,South Korea,
2005,Nov,Switzerland,69
2005,Nov,Sweden,1803
2005,Nov,Taiwan,
2005,Nov,Germany,894
2005,Nov,Other countries,2600
2005,Dec,Passenger total,40150
2005,Dec,Iceland,25213
2005,Dec,Foreigners,14937
2005,Dec,Austria,
2005,Dec,Australia / New Zealand,
2005,Dec,U.S.A.,2163
2005,Dec,Belgium,
2005,Dec,U.K.,2370
2005,Dec,Denmark,1227
2005,Dec,Estonia / Latvia / Lithuania,
2005,Dec,Finland,192
2005,Dec,France,568
2005,Dec,Netherlands,314
2005,Dec,Hong Kong,
2005,Dec,India,
2005,Dec,Ireland,
2005,Dec,Israel,
2005,Dec,Italy,174
2005,Dec,Japan,507
2005,Dec,Canada,138
2005,Dec,China,
2005,Dec,Norway,851
2005,Dec,Poland,
2005,Dec,Russia,
2005,Dec,Singapore,
2005,Dec,Spain,112
2005,Dec,South Korea,
2005,Dec,Switzerland,90
2005,Dec,Sweden,895
2005,Dec,Taiwan,
2005,Dec,Germany,970
2005,Dec,Other countries,4366
2006,Jan,Passenger total,42563
2006,Jan,Iceland,27186
2006,Jan,Foreigners,15377
2006,Jan,Austria,
2006,Jan,Australia / New Zealand,
2006,Jan,U.S.A.,2891
2006,Jan,Belgium,
2006,Jan,U.K.,3437
2006,Jan,Denmark,1374
2006,Jan,Estonia / Latvia / Lithuania,
2006,Jan,Finland,221
2006,Jan,France,650
2006,Jan,Netherlands,392
2006,Jan,Hong Kong,
2006,Jan,India,
2006,Jan,Ireland,
2006,Jan,Israel,
2006,Jan,Italy,160
2006,Jan,Japan,794
2006,Jan,Canada,130
2006,Jan,China,
2006,Jan,Norway,967
2006,Jan,Poland,
2006,Jan,Russia,
2006,Jan,Singapore,
2006,Jan,Spain,188
2006,Jan,South Korea,
2006,Jan,Switzerland,118
2006,Jan,Sweden,837
2006,Jan,Taiwan,
2006,Jan,Germany,1207
2006,Jan,Other countries,2011
2006,Feb,Passenger total,41197
2006,Feb,Iceland,26298
2006,Feb,Foreigners,14899
2006,Feb,Austria,
2006,Feb,Australia / New Zealand,
2006,Feb,U.S.A.,2411
2006,Feb,Belgium,
2006,Feb,U.K.,3680
2006,Feb,Denmark,1460
2006,Feb,Estonia / Latvia / Lithuania,
2006,Feb,Finland,250
2006,Feb,France,786
2006,Feb,Netherlands,544
2006,Feb,Hong Kong,
2006,Feb,India,
2006,Feb,Ireland,
2006,Feb,Israel,
2006,Feb,Italy,141
2006,Feb,Japan,449
2006,Feb,Canada,128
2006,Feb,China,
2006,Feb,Norway,1426
2006,Feb,Poland,
2006,Feb,Russia,
2006,Feb,Singapore,
2006,Feb,Spain,95
2006,Feb,South Korea,
2006,Feb,Switzerland,82
2006,Feb,Sweden,873
2006,Feb,Taiwan,
2006,Feb,Germany,796
2006,Feb,Other countries,1778
2006,Mar,Passenger total,47377
2006,Mar,Iceland,29495
2006,Mar,Foreigners,17882
2006,Mar,Austria,
2006,Mar,Australia / New Zealand,
2006,Mar,U.S.A.,3379
2006,Mar,Belgium,
2006,Mar,U.K.,3471
2006,Mar,Denmark,1981
2006,Mar,Estonia / Latvia / Lithuania,
2006,Mar,Finland,309
2006,Mar,France,883
2006,Mar,Netherlands,636
2006,Mar,Hong Kong,
2006,Mar,India,
2006,Mar,Ireland,
2006,Mar,Israel,
2006,Mar,Italy,175
2006,Mar,Japan,423
2006,Mar,Canada,199
2006,Mar,China,
2006,Mar,Norway,1936
2006,Mar,Poland,
2006,Mar,Russia,
2006,Mar,Singapore,
2006,Mar,Spain,91
2006,Mar,South Korea,
2006,Mar,Switzerland,103
2006,Mar,Sweden,1143
2006,Mar,Taiwan,
2006,Mar,Germany,1137
2006,Mar,Other countries,2016
2006,Apr,Passenger total,65520
2006,Apr,Iceland,40212
2006,Apr,Foreigners,25308
2006,Apr,Austria,
2006,Apr,Australia / New Zealand,
2006,Apr,U.S.A.,3586
2006,Apr,Belgium,
2006,Apr,U.K.,6283
2006,Apr,Denmark,2927
2006,Apr,Estonia / Latvia / Lithuania,
2006,Apr,Finland,535
2006,Apr,France,992
2006,Apr,Netherlands,608
2006,Apr,Hong Kong,
2006,Apr,India,
2006,Apr,Ireland,
2006,Apr,Israel,
2006,Apr,Italy,248
2006,Apr,Japan,291
2006,Apr,Canada,214
2006,Apr,China,
2006,Apr,Norway,1929
2006,Apr,Poland,
2006,Apr,Russia,
2006,Apr,Singapore,
2006,Apr,Spain,201
2006,Apr,South Korea,
2006,Apr,Switzerland,165
2006,Apr,Sweden,1884
2006,Apr,Taiwan,
2006,Apr,Germany,1410
2006,Apr,Other countries,4035
2006,May,Passenger total,66988
2006,May,Iceland,35913
2006,May,Foreigners,31075
2006,May,Austria,
2006,May,Australia / New Zealand,
2006,May,U.S.A.,5238
2006,May,Belgium,
2006,May,U.K.,4948
2006,May,Denmark,3397
2006,May,Estonia / Latvia / Lithuania,
2006,May,Finland,960
2006,May,France,1152
2006,May,Netherlands,863
2006,May,Hong Kong,
2006,May,India,
2006,May,Ireland,
2006,May,Israel,
2006,May,Italy,459
2006,May,Japan,249
2006,May,Canada,323
2006,May,China,
2006,May,Norway,2973
2006,May,Poland,
2006,May,Russia,
2006,May,Singapore,
2006,May,Spain,231
2006,May,South Korea,
2006,May,Switzerland,212
2006,May,Sweden,3128
2006,May,Taiwan,
2006,May,Germany,1941
2006,May,Other countries,5001
2006,Jun,Passenger total,95219
2006,Jun,Iceland,50628
2006,Jun,Foreigners,44591
2006,Jun,Austria,
2006,Jun,Australia / New Zealand,
2006,Jun,U.S.A.,7578
2006,Jun,Belgium,
2006,Jun,U.K.,6613
2006,Jun,Denmark,3309
2006,Jun,Estonia / Latvia / Lithuania,
2006,Jun,Finland,1132
2006,Jun,France,2420
2006,Jun,Netherlands,1211
2006,Jun,Hong Kong,
2006,Jun,India,
2006,Jun,Ireland,
2006,Jun,Israel,
2006,Jun,Italy,916
2006,Jun,Japan,507
2006,Jun,Canada,442
2006,Jun,China,
2006,Jun,Norway,2880
2006,Jun,Poland,
2006,Jun,Russia,
2006,Jun,Singapore,
2006,Jun,Spain,557
2006,Jun,South Korea,
2006,Jun,Switzerland,731
2006,Jun,Sweden,3093
2006,Jun,Taiwan,
2006,Jun,Germany,5030
2006,Jun,Other countries,8172
2006,Jul,Passenger total,109475
2006,Jul,Iceland,42603
2006,Jul,Foreigners,66872
2006,Jul,Austria,
2006,Jul,Australia / New Zealand,
2006,Jul,U.S.A.,8673
2006,Jul,Belgium,
2006,Jul,U.K.,8047
2006,Jul,Denmark,6993
2006,Jul,Estonia / Latvia / Lithuania,
2006,Jul,Finland,1423
2006,Jul,France,5186
2006,Jul,Netherlands,1996
2006,Jul,Hong Kong,
2006,Jul,India,
2006,Jul,Ireland,
2006,Jul,Israel,
2006,Jul,Italy,1824
2006,Jul,Japan,542
2006,Jul,Canada,643
2006,Jul,China,
2006,Jul,Norway,3197
2006,Jul,Poland,
2006,Jul,Russia,
2006,Jul,Singapore,
2006,Jul,Spain,1824
2006,Jul,South Korea,
2006,Jul,Switzerland,1963
2006,Jul,Sweden,3901
2006,Jul,Taiwan,
2006,Jul,Germany,8952
2006,Jul,Other countries,11708
2006,Aug,Passenger total,112176
2006,Aug,Iceland,42589
2006,Aug,Foreigners,69587
2006,Aug,Austria,
2006,Aug,Australia / New Zealand,
2006,Aug,U.S.A.,8667
2006,Aug,Belgium,
2006,Aug,U.K.,8728
2006,Aug,Denmark,5034
2006,Aug,Estonia / Latvia / Lithuania,
2006,Aug,Finland,1181
2006,Aug,France,5907
2006,Aug,Netherlands,2158
2006,Aug,Hong Kong,
2006,Aug,India,
2006,Aug,Ireland,
2006,Aug,Israel,
2006,Aug,Italy,3558
2006,Aug,Japan,714
2006,Aug,Canada,785
2006,Aug,China,
2006,Aug,Norway,3311
2006,Aug,Poland,
2006,Aug,Russia,
2006,Aug,Singapore,
2006,Aug,Spain,3445
2006,Aug,South Korea,
2006,Aug,Switzerland,1848
2006,Aug,Sweden,3658
2006,Aug,Taiwan,
2006,Aug,Germany,10368
2006,Aug,Other countries,10225
2006,Sep,Passenger total,75845
2006,Sep,Iceland,36217
2006,Sep,Foreigners,39628
2006,Sep,Austria,
2006,Sep,Australia / New Zealand,
2006,Sep,U.S.A.,5378
2006,Sep,Belgium,
2006,Sep,U.K.,5729
2006,Sep,Denmark,4555
2006,Sep,Estonia / Latvia / Lithuania,
2006,Sep,Finland,1117
2006,Sep,France,1384
2006,Sep,Netherlands,1225
2006,Sep,Hong Kong,
2006,Sep,India,
2006,Sep,Ireland,
2006,Sep,Israel,
2006,Sep,Italy,680
2006,Sep,Japan,877
2006,Sep,Canada,470
2006,Sep,China,
2006,Sep,Norway,3434
2006,Sep,Poland,
2006,Sep,Russia,
2006,Sep,Singapore,
2006,Sep,Spain,716
2006,Sep,South Korea,
2006,Sep,Switzerland,349
2006,Sep,Sweden,2867
2006,Sep,Taiwan,
2006,Sep,Germany,4094
2006,Sep,Other countries,6753
2006,Oct,Passenger total,70265
2006,Oct,Iceland,38188
2006,Oct,Foreigners,32077
2006,Oct,Austria,
2006,Oct,Australia / New Zealand,
2006,Oct,U.S.A.,3590
2006,Oct,Belgium,
2006,Oct,U.K.,7509
2006,Oct,Denmark,3426
2006,Oct,Estonia / Latvia / Lithuania,
2006,Oct,Finland,923
2006,Oct,France,613
2006,Oct,Netherlands,996
2006,Oct,Hong Kong,
2006,Oct,India,
2006,Oct,Ireland,
2006,Oct,Israel,
2006,Oct,Italy,266
2006,Oct,Japan,829
2006,Oct,Canada,470
2006,Oct,China,
2006,Oct,Norway,3123
2006,Oct,Poland,
2006,Oct,Russia,
2006,Oct,Singapore,
2006,Oct,Spain,275
2006,Oct,South Korea,
2006,Oct,Switzerland,170
2006,Oct,Sweden,2984
2006,Oct,Taiwan,
2006,Oct,Germany,1635
2006,Oct,Other countries,5268
2006,Nov,Passenger total,57827
2006,Nov,Iceland,36267
2006,Nov,Foreigners,21560
2006,Nov,Austria,
2006,Nov,Australia / New Zealand,
2006,Nov,U.S.A.,2797
2006,Nov,Belgium,
2006,Nov,U.K.,5100
2006,Nov,Denmark,2245
2006,Nov,Estonia / Latvia / Lithuania,
2006,Nov,Finland,293
2006,Nov,France,519
2006,Nov,Netherlands,534
2006,Nov,Hong Kong,
2006,Nov,India,
2006,Nov,Ireland,
2006,Nov,Israel,
2006,Nov,Italy,214
2006,Nov,Japan,328
2006,Nov,Canada,408
2006,Nov,China,
2006,Nov,Norway,2056
2006,Nov,Poland,
2006,Nov,Russia,
2006,Nov,Singapore,
2006,Nov,Spain,193
2006,Nov,South Korea,
2006,Nov,Switzerland,135
2006,Nov,Sweden,1801
2006,Nov,Taiwan,
2006,Nov,Germany,880
2006,Nov,Other countries,4057
2006,Dec,Passenger total,45982
2006,Dec,Iceland,25937
2006,Dec,Foreigners,20045
2006,Dec,Austria,
2006,Dec,Australia / New Zealand,
2006,Dec,U.S.A.,1612
2006,Dec,Belgium,
2006,Dec,U.K.,3985
2006,Dec,Denmark,1504
2006,Dec,Estonia / Latvia / Lithuania,
2006,Dec,Finland,191
2006,Dec,France,581
2006,Dec,Netherlands,351
2006,Dec,Hong Kong,
2006,Dec,India,
2006,Dec,Ireland,
2006,Dec,Israel,
2006,Dec,Italy,199
2006,Dec,Japan,458
2006,Dec,Canada,212
2006,Dec,China,
2006,Dec,Norway,1308
2006,Dec,Poland,
2006,Dec,Russia,
2006,Dec,Singapore,
2006,Dec,Spain,183
2006,Dec,South Korea,
2006,Dec,Switzerland,89
2006,Dec,Sweden,1196
2006,Dec,Taiwan,
2006,Dec,Germany,1039
2006,Dec,Other countries,7137
2007,Jan,Passenger total,47905
2007,Jan,Iceland,29095
2007,Jan,Foreigners,18810
2007,Jan,Austria,
2007,Jan,Australia / New Zealand,
2007,Jan,U.S.A.,2068
2007,Jan,Belgium,
2007,Jan,U.K.,4287
2007,Jan,Denmark,2001
2007,Jan,Estonia / Latvia / Lithuania,
2007,Jan,Finland,332
2007,Jan,France,546
2007,Jan,Netherlands,441
2007,Jan,Hong Kong,
2007,Jan,India,
2007,Jan,Ireland,
2007,Jan,Israel,
2007,Jan,Italy,264
2007,Jan,Japan,714
2007,Jan,Canada,184
2007,Jan,China,
2007,Jan,Norway,1414
2007,Jan,Poland,
2007,Jan,Russia,
2007,Jan,Singapore,
2007,Jan,Spain,191
2007,Jan,South Korea,
2007,Jan,Switzerland,276
2007,Jan,Sweden,1465
2007,Jan,Taiwan,
2007,Jan,Germany,1058
2007,Jan,Other countries,3569
2007,Feb,Passenger total,47032
2007,Feb,Iceland,29385
2007,Feb,Foreigners,17647
2007,Feb,Austria,
2007,Feb,Australia / New Zealand,
2007,Feb,U.S.A.,1685
2007,Feb,Belgium,
2007,Feb,U.K.,5344
2007,Feb,Denmark,1731
2007,Feb,Estonia / Latvia / Lithuania,
2007,Feb,Finland,305
2007,Feb,France,686
2007,Feb,Netherlands,454
2007,Feb,Hong Kong,
2007,Feb,India,
2007,Feb,Ireland,
2007,Feb,Israel,
2007,Feb,Italy,144
2007,Feb,Japan,528
2007,Feb,Canada,114
2007,Feb,China,
2007,Feb,Norway,1629
2007,Feb,Poland,
2007,Feb,Russia,
2007,Feb,Singapore,
2007,Feb,Spain,86
2007,Feb,South Korea,
2007,Feb,Switzerland,91
2007,Feb,Sweden,1189
2007,Feb,Taiwan,
2007,Feb,Germany,886
2007,Feb,Other countries,2775
2007,Mar,Passenger total,59051
2007,Mar,Iceland,35351
2007,Mar,Foreigners,23700
2007,Mar,Austria,
2007,Mar,Australia / New Zealand,
2007,Mar,U.S.A.,2517
2007,Mar,Belgium,
2007,Mar,U.K.,5486
2007,Mar,Denmark,2841
2007,Mar,Estonia / Latvia / Lithuania,
2007,Mar,Finland,286
2007,Mar,France,919
2007,Mar,Netherlands,720
2007,Mar,Hong Kong,
2007,Mar,India,
2007,Mar,Ireland,
2007,Mar,Israel,
2007,Mar,Italy,488
2007,Mar,Japan,475
2007,Mar,Canada,189
2007,Mar,China,116
2007,Mar,Norway,2504
2007,Mar,Poland,624
2007,Mar,Russia,
