"Year","Sex","Age","Rate of individuals (%)","Rate lower bounds (%)","Rate upper bounds (%)","Number of individuals","Number lower bounds","Number upper bounds"
"2007","Female","Total",11.0,9.9,12.2,16177,14539,17918
"2007","Female","0-15 years old",13.4,11.2,15.8,4537,3786,5365
"2007","Female","16-24 years old",13.6,10.4,17.3,2590,1983,3290
"2007","Female","25-34 years old",11.9,9.1,15.2,2505,1912,3193
"2007","Female","35-44 years old",7.3,5.3,9.8,1495,1079,1998
"2007","Female","45-54 years old",5.6,3.7,7.9,1105,739,1568
"2007","Female","55-64 years old",4.3,2.4,7.0,624,345,1017
"2007","Female","65 + years old",18.8,14.1,24.2,3320,2489,4274
"2007","Male","Total",9.1,8.1,10.2,13739,12218,15367
"2007","Male","0-15 years old",11.7,9.7,14.0,4188,3476,4977
"2007","Male","16-24 years old",7.7,5.5,10.4,1550,1100,2097
"2007","Male","25-34 years old",10.9,7.8,14.5,2429,1752,3237
"2007","Male","35-44 years old",8.2,5.9,11.0,1746,1255,2338
"2007","Male","45-54 years old",6.4,4.1,9.3,1316,855,1907
"2007","Male","55-64 years old",5.4,3.1,8.6,792,455,1254
"2007","Male","65 + years old",11.0,7.5,15.4,1719,1167,2401
"2008","Total","Total",10.0,9.2,10.8,30357,28008,32818
"2008","Total","0-15 years old",11.8,10.2,13.4,8234,7156,9399
"2008","Total","16-24 years old",11.1,9.0,13.5,4462,3610,5421
"2008","Total","25-34 years old",11.2,9.0,13.8,4986,3982,6122
"2008","Total","35-44 years old",7.5,5.8,9.3,3187,2494,3987
"2008","Total","45-54 years old",6.1,4.6,8.0,2571,1914,3353
"2008","Total","55-64 years old",5.8,4.2,7.8,1823,1316,2439
"2008","Total","65 + years old",15.0,12.1,18.2,5094,4106,6200
"2008","Female","Total",10.6,9.5,11.8,15961,14304,17725
"2008","Female","0-15 years old",12.5,10.3,15.0,4293,3529,5143
"2008","Female","16-24 years old",11.5,8.3,15.3,2244,1625,2981
"2008","Female","25-34 years old",11.1,8.3,14.5,2386,1770,3112
"2008","Female","35-44 years old",7.0,5.0,9.4,1452,1034,1961
"2008","Female","45-54 years old",6.0,4.1,8.5,1232,832,1735
"2008","Female","55-64 years old",5.0,2.9,7.8,757,442,1186
"2008","Female","65 + years old",19.7,15.3,24.6,3597,2796,4499
"2008","Male","Total",9.3,8.3,10.5,14396,12765,16146
"2008","Male","0-15 years old",11.1,9.0,13.4,3941,3206,4765
"2008","Male","16-24 years old",10.8,8.1,14.0,2218,1665,2867
"2008","Male","25-34 years old",11.3,8.0,15.3,2600,1843,3512
"2008","Male","35-44 years old",7.9,5.5,10.9,1735,1208,2381
"2008","Male","45-54 years old",6.3,4.0,9.2,1339,850,1973
"2008","Male","55-64 years old",6.7,4.3,9.6,1066,695,1540
"2008","Male","65 + years old",9.5,6.2,13.7,1497,976,2158
"2009","Total","Total",10.2,9.4,11.0,31232,28804,33777
"2009","Total","0-15 years old",10.1,8.7,11.6,7096,6100,8183
"2009","Total","16-24 years old",14.2,11.6,17.0,5738,4713,6877
"2009","Total","25-34 years old",12.4,10.1,15.1,5606,4555,6784
"2009","Total","35-44 years old",8.6,6.8,10.7,3690,2898,4601
"2009","Total","45-54 years old",6.5,4.9,8.5,2737,2057,3541
"2009","Total","55-64 years old",6.3,4.6,8.4,2011,1453,2688
"2009","Total","65 + years old",12.4,9.8,15.3,4353,3437,5394
"2009","Female","Total",11.1,9.9,12.3,16813,15058,18681
"2009","Female","0-15 years old",10.6,8.6,12.9,3695,2985,4496
"2009","Female","16-24 years old",18.3,14.2,23.1,3603,2781,4536
"2009","Female","25-34 years old",12.3,9.2,16.0,2657,1989,3438
"2009","Female","35-44 years old",8.7,6.1,11.8,1818,1283,2468
"2009","Female","45-54 years old",4.4,2.8,6.4,912,590,1329
"2009","Female","55-64 years old",4.9,2.9,7.5,775,463,1195
"2009","Female","65 + years old",17.9,13.8,22.5,3352,2588,4219
"2009","Male","Total",9.3,8.2,10.4,14420,12779,16180
"2009","Male","0-15 years old",9.6,7.7,11.7,3401,2728,4163
"2009","Male","16-24 years old",10.2,7.6,13.4,2135,1581,2790
"2009","Male","25-34 years old",12.5,9.2,16.4,2950,2171,3867
"2009","Male","35-44 years old",8.5,6.0,11.6,1872,1319,2546
"2009","Male","45-54 years old",8.6,5.9,12.0,1824,1253,2530
"2009","Male","55-64 years old",7.7,5.0,11.2,1236,800,1794
"2009","Male","65 + years old",6.1,3.5,9.7,1001,569,1593
"2010","Total","Total",9.8,9.1,10.6,29691,27406,32087
"2010","Total","0-15 years old",12.9,11.3,14.6,9069,7939,10286
"2010","Total","16-24 years old",14.8,12.4,17.5,5801,4866,6827
"2010","Total","25-34 years old",13.3,10.8,16.0,5494,4482,6624
"2010","Total","35-44 years old",7.8,6.0,9.9,3220,2479,4081
